Id,title,description,channel,duration,views
h0Oym7HX9Cc,"Le déjà-vu et les lignes temporelles  - Anne Tuffigo, médium","« Ça, c’est un signe ! » Qui ne s’est jamais fait cette réflexion a priori anodine ? Par exemple, après un rêve : et si la réponse à cet épineux problème qui vous hante depuis des mois vous avait été soufflée durant votre sommeil ? Et si cette intuition qui vous a poussé à décaler votre voyage vous avait sauvé du crash de votre avion ? Et s’il était possible de recevoir des signes de nos chers disparus ? Comment pourrions-nous les interpréter ? Comment pourrions-nous appréhender ce formidable langage qui s’offre à nous ?

Prémonitions, songes, synchronicités, déjà-vu, intuitions : autant de signes qui nous entourent et que nous recevons quotidiennement sans forcément y prêter attention. Et pourtant… Prendre conscience de leur existence et apprendre à les décrypter ouvre les portes d’une formidable connaissance de soi et permet de renouer avec l’essentiel.

LILOU PRODUCTION  © 2023 http://www.liloumace.com 
La télé de Lilou (interviews) http://www.lateledelilou.com 
La librairie de Lilou (boutique) http://www.lalibrairiedelilou.com
Telegram : https://t.me/lateledelilou  
Facebook http://ww.facebook.com/frlilou 
Instagram http://www.instagram.com/liloumace",La Télé de Lilou Macé,PT21M13S,39574
9oaMyLPzW34,13 - Apprendre à ne pas respirer c’est apprendre à respirer....,"Apprendre à ne pas respirer c’est apprendre à respirer. L’apnée: une ouverture vers le voyage intérieur 

Guillaume Néry, Champion du monde d’apnée


Respiration, Conscience, Bien-être 

Le deuxième colloque de l’observatoire des médecines non conventionnelles de la faculté de médecine de Nice, organisé par l’association OMCNC a eu lieu le Samedi 21 Janvier de 14h à 19h, à Nice.

Un après-midi de conférences courtes ouvertes à tous, explorant de façon didactique l’anatomie et la physiologie de la respiration, ainsi que les différentes techniques respiratoires. Le programme relie des mondes aussi divers que la yoga, le chant lyrique, le sport de haut-niveau ou l’apnée en compétition. Des techniques telles que la cohérence cardiaque, la méditation pleine conscience, la sophrologie ou l’hypnose thérapeutique seront également abordées, avec de nombreux exercices pratiques en salle.




- Production :
Faculté de Médecine de Nice
Université Nice Sophia Antipolis
Université Côte d'Azur
- Directeur de la publication
Pr Patrick BAQUÉ
- Directrice de la production
Isabelle CALLEA


medecine.unice.fr

2017
Facebook:
http://www.facebook.com/UNSSante",UFR médecine,PT56M54S,358286
3b1GwA3FaMQ,Nos droits - Jean-Jacques Crèvecoeur,"Pour aller plus loin, voici une sélection des douze meilleures vidéos de J-J Crèvecoeur : http://bit.ly/bestofJJC
Abonnez-vous à la chaîne (et cliquez sur la cloche) pour recevoir les prochaines vidéos : http://bit.ly/AbonnementJJC

 Facebook RGNR : https://www.facebook.com/thierry.rgnr/
▶ Instagram RGNR : https://www.instagram.com/stories/thi... 
▶ Site RGNR : https://www.regenere.org
▶ Site Rencontres de la Régénération : http://www.rencontres-regeneration.com/
▶ Instagram RDLR : https://www.instagram.com/rdlr_thierr...",Roche Alazet Elisabeth,PT53M23S,56173
iYxFoYKLSMg,Les troubles de l'attachement | Psycho | ARTE,"À partir de plusieurs témoignages et avis d’experts, cet épisode met en lumière les troubles de l’attachement, qui souvent dépendent des premières années de vie. Les expériences de violence comme le divorce, l'abus et le harcèlement entraînent des traumatismes qui peuvent conditionner durablement le rapport aux autres.

Pour la première fois de sa vie, Juliet a peur de perdre quelqu'un. Auparavant, cette jeune éducatrice mettait fin aux relations à sa guise, refusant d'en parler ou d'impliquer l'autre dans la décision. Avec Lukas, le rapport est différent. Maintenant, elle ne veut plus partir. Après une enfance difficile, le mécanisme de protection d’Arnaud était de ne s'attacher à personne... jusqu’au moment où il est tombé amoureux. Miracle : Alexandra désire avancer avec lui, et il peut le supporter. Ramon, lui, vit seul et souhaite le rester. Il suit une thérapie censée le préparer à une vraie relation. Pour y parvenir, il doit travailler sur son estime de soi, car il est persuadé depuis l’école, où il a été mis à l’écart, qu’il n'est pas aimable. 

Dans le vif du sujet 
Comment parler avec légèreté des affections dites ""psychiques"", qu'il s'agisse de la dépression ou de l'addiction, mais aussi de difficultés existentielles causées par un deuil ou une séparation, sans nier pour autant la souffrance et la solitude qui les accompagnent ? Psycho y parvient en vingt-six minutes aussi concrètes que riches, au moment où la pandémie de Covid-19 a brutalement mis en évidence le profond mal-être des sociétés occidentales, débordées par l'explosion des demandes de prise en charge. Montage alerte, approche ludique et sensible, intelligence du propos : en donnant la parole aux premiers concernés et à des spécialistes ""psy"", en France et en Allemagne, ces dix épisodes nous plongent dans la réalité du trouble psychique, afin, peut-être, de mieux l'accepter en nous-mêmes ou chez les autres.

Série documentaire (2022, 26mn)

Disponible jusqu'au 30/06/2026 

#Psychologie #Traumatismes #Arte

Abonnez-vous à la chaîne ARTE https://www.youtube.com/channel/UCwI-JbGNsojunnHbFAc0M4Q/?sub_confirmation=1

Suivez-nous sur les réseaux !
Facebook : http://www.facebook.com/artetv
Twitter : http://www.twitter.com/artefr
Instagram : https://www.instagram.com/artefr",ARTE,PT26M3S,209750
UGz54o9HN_4,"""On m'a révoqué simplement parce que j'ai donné mon avis sur le vaccin"" - Dr Amine Umlil, pharmacien","Avec  Dr Amine Umlil, pharmacien à l’hôpital de Cholet.

Retrouvez Bercoff dans tous ses états avec André Bercoff du lundi au vendredi de 12h30 à 14h sur #SudRadio.

---
Abonnez-vous pour plus de contenus : http://ow.ly/7FZy50G1rry 

———————————————————————

▶️ Suivez le direct : https://www.dailymotion.com/video/x75... 
🎧 Retrouvez nos podcasts et articles : https://www.sudradio.fr/ 

———————————————————————

🔴 Nous suivre sur les réseaux sociaux 🔴

▪️ Facebook : https://www.facebook.com/profile.php?id=100063607629498
▪️ Instagram : https://www.instagram.com/sudradioofficiel/
▪️ Twitter : https://twitter.com/SudRadio 
▪️ TikTok : https://www.tiktok.com/@sudradio?lang=fr
———————————————————————

☀️ Et pour plus de vidéos de Bercoff dans tous ses états : https://www.youtube.com/playlist?list=PLaXVMKmPLMDQe5oKZlhHutOQlGCq7EVU4

##LE_FAIT_DU_JOUR-2023-02-06##",Sud Radio,PT21M2S,291956
GNUAc1VexcQ,Ursula Von Der Pfizer ? : Le New York Times s'interroge,"Chaque matin, Vincent Hervouet nous livre son regard sur l'actualité internationale. Ce mercredi, il s'intéresse à la décision du New York Times de saisir la justice pour contraindre la Commission européenne à dévoiler les échanges entre Ursula Von Der Leyer et le patron de Pfizer à propos de contrat sur les doses de vaccin.


ABONNEZ-VOUS pour plus de vidéos : http://bit.ly/radioE1
LE DIRECT : http://www.europe1.fr/direct-video

 Retrouvez-nous sur :
 | Notre site : http://www.europe1.fr
 | Facebook : https://www.facebook.com/Europe1
 | Twitter : https://twitter.com/europe1
 | Google + : https://plus.google.com/+Europe1/posts
 | Pinterest : http://www.pinterest.com/europe1/",Europe 1,PT3M8S,147079
ktgoio4SgCI,AFFAIRE RACHID M'BARKI SUR BFM : C'EST NOTRE SYSTÈME MÉDIATIQUE QUI EST POURRI,"⚠️  Pour durer et rester à la TV, pour concurrencer les grandes chaînes gavées à l'argent des milliardaires, nous avons besoin de votre soutien. Alors, soutenez-nous et abonnez-vous à partir de 5 euros/mois, pour faire un vivre la première chaîne TV vraiment indépendante !
👉 https://www.lemediatv.fr/soutien

C’est une affaire qui a commencé bizarrement, avec un article du site spécialisé Politico en disant trop ou pas assez. Un article daté du 2 février dernier, évoquant une mise à l’écart du journaliste Rachid M’Barki parce qu’il aurait été à l’origine de la diffusion, sur BFM, d’infos et d’images non validées et non sourcées dans les éditions de nuit dont il est présentateur. Timidement, on explique qu’en interne on soupçonne des opérations d’influence de régimes autoritaires. Bref, que de mystères ! Jusqu’à ce que l’AFP en dise plus sur un des “sujets” problématiques lancés par le journaliste vedette de BFM. Un sujet sur le Maroc.
On peut être tenté de n’y voir qu’une question d’affinité particulière, Rachid M’Barki étant un Français d’origine marocaine. Mais ne voilà-t-il pas que progressivement, l’on évoque des contenus douteux liés au régime soudanais, aux oligarques russes ou à une entreprise spécialisée dans la sécurité portuaire notamment active au Cameroun… On parle aussi d’une opération pilotée par le Bahreïn contre le Qatar… Bref, on n’est pas en face d’un dérapage momentané… Mais d’un véritable système bien huilé.
Un système finalement dévoilé au moment où sort la grande enquête journalistique dénommée “Story Killers”, portée par l’ONG Forbidden Stories, à laquelle est notamment associée la cellule Investigation de Radio France.
Comment se fait-il qu’un média de cette ampleur ait pu être à plusieurs reprises le réceptacle de telles opérations d’influence ? Si l’on en croit Marc-Olivier Fogiel, le patron de BFM TV, seul Rachid M’Barki est coupable. Et la première chaine info de France n’est rien d’autre qu’une victime. Et pourtant… Cette histoire témoigne d’une sorte d’habituation de notre système médiatique aux opérations d’influence diverses et variées.
Et, dans le fond, ce n’était pas la première fois que BFM TV mettait le doigt dans le pot de confiture. C’est ce que rappelle Théophile Kouamouo dans cette édition spéciale de l’Actu démasquée.

▶ Soutenez Le Média : 
👉 https://soutenez.lemediatv.fr (CB - SEPA - Chèque)
👉 https://dons.lemediatv.fr (CB - SEPA - Chèque)
👉 https://fr.tipeee.com/le-media (CB - Paypal)

✅  Suivez-nous : 
Instagram : https://www.instagram.com/lemedia_tv/
Facebook : http://bit.ly/FacebookLeMedia
Twitter : http://bit.ly/TwitterLeMedia
Youtube : http://bit.ly/YouTubeLeMedia
Peertube : https://video.lemediatv.fr
Telegram :  https://t.me/LeMediaOfficiel

Rejoignez la communauté des Socios !",Le Média,PT13M56S,512564
Za7ocrweUVo,Suite dans l'affaire des SMS entre Ursula Von der Leyen et Pfizer,C'est une affaire qui créé des remous à Bruxelles. Que contiennent les SMS échangés entre la présidente de la Commission européenne Ursula Von der Leyen et le patron de Pfizer Albert Bourla ? Le New York Times a saisi la justice pour obliger la Commission à dévoiler ces échanges... Une bonne chose pour l'eurodéputée verte Michèle Rivasi.,TV5MONDE Info,PT5M21S,189930
xClmWRGU1kk,"When you know this, you will know the effect of bananas on roses","When you know this, you will know the effect of bananas on roses
#roses #bananas  #vuonnha
@Donate with Paypal : paypal.me/vuonnha
Thank you for watching! Please Like, Share, Subscribe to my channel
==================================
Join channel members:
https://www.youtube.com/channel/UCgcApsr-Kw2Dwc45Gw2E6Ig/join
==================================
© Copyright by Vườn & Nhà ☞ Do not Reup""
✉ Copyright Contact: cuongttvhttvtt@gmail.com
✉ For business inquiries: cuongttvhttvtt@gmail.com",Vườn & Nhà,PT8M37S,13785225
VFGiHv-Ctmo,RETRAITES : LE DOCUMENT CONFIDENTIEL QUI PEUT TOUT CHANGER (JÉRÔME GUEDJ),"⚠️  Pour durer et rester à la TV, pour concurrencer les grandes chaînes gavées à l'argent des milliardaires, nous avons besoin de votre soutien. Alors, soutenez-nous et abonnez-vous à partir de 5 euros/mois, pour faire un vivre la première chaîne TV vraiment indépendante !
👉 https://www.lemediatv.fr/soutien

Réforme des retraites : le court temps de débat à l’Assemblée s’est achevé vendredi. La discussion va déménager au Sénat. Et en parallèle, l’intersyndicale appelle à mettre la France à l’arrêt à partir du 7 mars, c’est historique. Le climat est plus que tendu, que ce soit au Parlement ou dans la rue. En effet cela fait plus d’un mois que la réforme a été présentée par le gouvernement. Et depuis celui-ci ne cesse de se prendre les pieds dans le tapis, entre la nécessité de la réforme, la question des femmes, la pénibilité, ou encore ces fameux 1200 euros brut minimum par mois qui était l’argument “social” de la majorité. Et qui depuis a été démonté. Désormais, nouvelle feuille de conduite pour la Macronie. On ne parle plus des 1200 euros bruts mais de “revalorisation”. Et même les nouveaux chiffres sur le nombre de bénéficiaires de la revalorisation promise ont été re-démontés, notamment par Jérôme Guedj, député du parti socialiste, vice-président de la Mission d'évaluation et de contrôle de la sécurité sociale à l’Assemblée, (MECSS), qui est allé les vérifier à la source, c’est-à-dire au siège de la Sécurité sociale. Le député a manifestement pu consulter l’avis rendu par le Conseil d’Etat sur le texte réformant les retraites. Ce qui pourrait ouvrir la voie à une remise en cause du projet de loi devant le Conseil constitutionnel. Jérôme Guedj est notre invité ce soir.

▶ Soutenez Le Média : 
👉 https://soutenez.lemediatv.fr (CB - SEPA - Chèque)
👉 https://dons.lemediatv.fr (CB - SEPA - Chèque)
👉 https://fr.tipeee.com/le-media (CB - Paypal)

✅  Suivez-nous : 
Instagram : https://www.instagram.com/lemedia_tv/
Facebook : http://bit.ly/FacebookLeMedia
Twitter : http://bit.ly/TwitterLeMedia
Youtube : http://bit.ly/YouTubeLeMedia
Peertube : https://video.lemediatv.fr
Telegram :  https://t.me/LeMediaOfficiel

Rejoignez la communauté des Socios !",Le Média,PT27M43S,129253
851Q-nPNx7I,Jean-Marc Jancovici est auditionné par la commission d'enquête de l'Assemblée nationale - 2/11/2022,"La commission d'enquête demandée par le groupe LR de l'Assemblée nationale, et visant à établir les raisons de la perte de souveraineté et d'indépendance énergétique de la France, commence ses travaux par une auditions d'experts, sous la houlette de Raphaël Schellenberger, son président. Parmi les premiers auditionnés, l'ingénieur Jean-Marc Jancovici, engagé dans la lutte contre le réchauffement climatique tout en s'affichant comme fervent défenseur de l'atome.

Les auditions de l'Assemblée nationale permettent notamment l'information et le contrôle de l'action du Gouvernement par les députés et elles peuvent aussi avoir pour objet de préparer un projet de loi.
Elles consistent à entendre une personne devant une commission afin d'avoir un éclairage, un point de vue sur un sujet précis. Ces personnes auditionnées peuvent être des membres du Gouvernement, des commissaires européens, des chercheurs, des représentants des milieux socioprofessionnels...

Abonnez-vous à la chaîne YouTube LCP : https://bit.ly/2XGSAH5

Suivez-nous sur les réseaux !

Twitter : https://twitter.com/lcp
Facebook : https://fr-fr.facebook.com/LCP
Instagram : https://www.instagram.com/lcp_an/

Retrouvez nous sur notre site : https://www.lcp.fr/

#LCP #Audtion #AssembléeNationale",LCP - Assemblée nationale,PT2H18M52S,274924
U7PI3ig1bfs,À la recherche des SMS d’Ursula von der Leyen avec Pfizer,"Qu'est-ce qui peut donc être si important dans les SMS échangés entre Ursula von der Leyen et le patron du laboratoire Pfizer ? La question hante jusqu'au New York Times, qui, selon Politico, a saisi la Cour de justice de l'UE pour obtenir la communication des textos. « La Commission européenne n'a pas reçu notification de la saisine », précise-t-on à Bruxelles. https://www.lepoint.fr/politique/emmanuel-berretta/a-la-recherche-des-sms-d-ursula-von-der-leyen-avec-pfizer-16-02-2023-2508859_1897.php Retrouvez-nous sur : - Youtube : https://www.youtube.com/c/lepoint/ - Facebook : https://www.facebook.com/lepoint.fr/ - Twitter : https://twitter.com/LePoint - Instagram : https://www.instagram.com/lepointfr - Tik Tok : https://www.tiktok.com/@lepointfr - LinkedIn : https://www.linkedin.com/company/le-point/posts/ - www.lepoint.fr",Le Point,PT1M39S,20735
Db89J6cAvDk,Les gouffres béants de l'Arctique | ARTE,"En Sibérie, avec la fonte du pergélisol, d’étranges cratères apparaissent dans la toundra. Ce documentaire étudie de près ce phénomène alarmant aux conséquences possiblement dramatique pour le climat.

En 2014, un hélicoptère survolant la Sibérie fait une découverte étonnante : un cratère de 25 mètres de large et de 50 mètres de profondeur, de quoi engloutir un immeuble de quinze étages. Curieusement, ce trou béant ne semble pas dû à l’effondrement de la surface du sol mais à une inexplicable explosion. Depuis, d’autres gouffres ont été découverts en Sibérie et en Alaska, où par ailleurs la surface d'un immense lac est troublée par des bulles de gaz inflammable. Ces étranges phénomènes sont en fait causés par la fonte du pergélisol (ou permafrost), une couche de terre en principe gelée en permanence qui couvre un quart de l’hémisphère Nord. Réchauffé par le dérèglement climatique, ce congélateur millénaire libère dans l'air d'importantes quantités de méthane, un puissant gaz à effet de serre, transformant ainsi des régions entières en bombes à retardement. Les habitants voient des paysages inchangés depuis des siècles se métamorphoser rapidement sous leurs yeux...

Coups de semonce

Que se passe-t-il lorsqu’un monde figé dans la glace depuis si longtemps commence à fondre ? Ces gouffres sont-ils un coup de semonce pour l’avenir de notre climat ? Peuvent-ils accélérer le réchauffement de notre planète ? Tout en suivant l'examen minutieux du cratère de la péninsule sibérienne de Yamal, le documentaire rend compte des recherches à travers l’Arctique de plusieurs équipes de scientifiques utilisant les technologies les plus récentes. Se penchant sur l’énigme que représente l’apparition de ces gouffres géants, les chercheurs recensent leurs conséquences possiblement dramatiques pour la planète. Une tragédie annoncée, dont les activités humaines semblent une nouvelle fois la cause....

Documentaire de Ian A. Hunt (Royaume-Uni, 2021, 53mn)

Disponible jusqu'au 12/04/2023

#Arctique #Climat #Arte

Abonnez-vous à la chaîne ARTE https://www.youtube.com/channel/UCwI-JbGNsojunnHbFAc0M4Q/?sub_confirmation=1

Suivez-nous sur les réseaux !
Facebook : http://www.facebook.com/artetv
Twitter : http://www.twitter.com/artefr
Instagram : https://www.instagram.com/artefr",ARTE,PT52M45S,376276
363RgMenp1g,Jamel Debbouze lance les César 2023 - CANAL+,"Meilleurs moments de la 48e cérémonie des César 2023 
Tout le cinéma de CANAL+ sur MyCANAL : https://www.canalplus.com/cesar/
Facebook : https://www.facebook.com/canalpluscinema/
Twitter : https://twitter.com/Canalplus
Instagram : https://www.instagram.com/canalplus/",CANAL+,PT13M49S,1068947
2HrlsKLpmBM,Des OVNIS apparaissent dans le ciel et inquiètent les autorités !,"Tous les extraits et émissions de ""Touche pas à mon poste"" sont à retrouver sur MyCANAL : https://www.mycanal.fr/c8/tpmp/touche-pas-a-mon-poste


TPMP sur les réseaux sociaux :
Facebook : https://www.facebook.com/TPMPTV
Twitter : https://twitter.com/TPMP
Instagram : https://instagram.com/tpmptv/",Touche pas à mon poste !,PT29M17S,322605
1dEHBt-rDVc,Edwy PLENEL : « Les vraies raisons de la guerre en Ukraine »,"Tous les jours, à 18h50 (heure de Paris), Patrick Simonin reçoit les personnalités qui font l'actualité sur TV5MONDE.

Retrouvez toutes les émissions sur http://www.tv5monde.com/linvite

L'Invité est sur les réseaux sociaux : 
Facebook : https://www.facebook.com/LInvite-166784776680731/
Twitter : https://twitter.com/PatrickSimonin

L'Invité sur TV5MONDE, c'est tous les jours : 
France / Belgique / Suisse : 18H50 heure de Paris.
Europe : 18h30 heure de Paris.
Afrique : 17h50 heure de Dakar.
Maghreb/Orient : 20h20 heure de Beyrouth.
Asie : 08h20 heure de Bangkok
Pacifique :  12h20 heure de Tokyo.
Etats Unis : 13h45 heure de New York.
Amérique Latine: 14h45 heure de Buenos Aires.",L'invité,PT22M46S,1639663
57j4P1FN7ts,"Affaire Pierre Palmade : ""Je suis dévasté"", le témoignage exclusif de la famille des victimes",Affaire Palmade : Le témoignage exclusif de la famille des victimes,Europe 1,PT20M8S,104037
